CD_MUN,Pop 2018,GDP,GDP Tax,GDP Agro,GDP Indu,GDP Serv Pri,GDP Serv Publ
3504602,17236,353421,29547,11719,36176,204454,71524
3504701,5532,57563,1814,14707,5326,12349,23367
3504800,8994,203040,16331,26725,25469,98292,36223
3504909,10896,184554,10892,6752,32807,87511,46592
3505005,3441,53276,1501,14068,2500,17543,17663
3505104,7335,94911,3817,15706,7220,39502,28666
3505203,34961,1160199,126788,53788,282602,554074,142947
3505302,36127,1282532,112074,16371,368604,636457,149026
3505351,5688,81216,2504,32535,3397,18623,24158
3505401,7687,91020,7133,3327,4871,40065,35624
3505500,121344,4859369,405933,190091,1193448,2548345,521552
3505609,32434,517656,34988,22469,83370,253678,123152
3505708,271306,50566644,14127802,319,4525241,30068622,1844660
3505807,20954,959525,51722,431963,108312,282323,85205
3505906,62024,1590068,133922,128089,221976,865557,240525
3506003,374272,14642061,1359519,46896,2641158,9163827,1430661
3506102,77436,3344551,436173,94929,450709,2028481,334260
3506201,2955,167547,12846,34274,61079,40825,18524
3506300,11137,220259,15435,25258,40163,94821,44581
3506359,61736,1690596,95607,5675,177572,1040199,371543
3506409,7949,193041,8944,56993,8397,86280,32428
3506508,122359,3336570,315632,52355,630094,1864875,473614
3506607,32251,687603,23703,280871,39589,228394,115046
3506706,14824,309484,16837,86293,21127,121809,63419
3506805,12204,217466,15340,33781,26456,91259,50629
3506904,11534,187116,9696,33781,27473,68836,47331
3507001,59793,2381517,361339,20386,712120,1023200,264472
3507100,24898,908428,133444,8012,310372,357179,99421
3507159,3923,62660,2581,5794,14263,21090,18932
3507209,836,70890,5654,12534,26673,17697,8332
3507308,4776,383172,36783,18508,191057,113683,23141
3507407,15925,372245,25197,81572,26898,171703,66874
3507456,2621,65278,4063,20366,2799,21143,16908
3507506,144820,4623409,411158,201068,1090166,2449999,471018
3507605,166753,6305507,761009,45222,1606000,3270518,622758
3507704,5630,98163,3815,22539,8301,37740,25767
3507753,2841,83159,5406,9666,21261,27648,19178
3507803,24592,668980,63702,42711,158397,299883,104287
3507902,24163,657854,57872,89950,67275,335358,107399
3508009,19789,413706,20313,124864,42021,142974,83534
3508108,17003,635662,35290,45383,248558,233663,72769
3508207,4447,177965,9004,33030,62238,47219,26475
3508306,4286,82550,3957,17786,14285,24738,21784
3508405,48966,4677142,1036453,28790,1129792,2258780,223327
3508504,93488,4318445,694689,16110,1614162,1638579,354905
3508603,33067,608492,31680,12629,62166,373201,128816
3508702,18961,357342,8763,93930,34290,149513,70846
3508801,17689,505033,41788,91768,96275,198639,76562
3508900,4190,58214,1596,14145,3730,19146,19597
